SANGER_ID,SPECIMEN_ID,DATE_OF_PRESERVATION,YEAR_OF_COLLECTION,MONTH_OF_COLLECTION,MONTH_YEAR,COLLECTION_LOCATION,DECIMAL_LATITUDE,DECIMAL_LONGITUDE,SEX,OUTDOORS_INDOORS,SPECIFIC_TIME_OF_COLLECTION,DURATION_OF_COLLECTION,COLLECTION_METHOD,BLOOD_MEAL,COLLECTOR_SAMPLE_ID,SPECIES_COLLECTED,PLASMODIUM_DETECTED,SPOROZOITE_INFECTIVITY,PLASMODIUM_SPECIES_AVAILABLE,CONTAMINATION_RISK,NN_ASSIGNMENT,VAE_SPECIES,SPECIES_CALL,CALL_METHOD
ANOSPP13104853,KAJO_011_D1,23/05/2017,2017,5,5.2017,UGANDA|KIBBUYE,0.749694,32.807167,F,INDOORS,09:00,PT3H,INDOOR_ASPIRATOR,Y,U.KY.17.364,Anopheles_gambiae,N,NA,NONE,Low,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
ANOSPP13104925,KAJO_011_D10,01/01/2016,2016,1,1.2016,UGANDA|KAYONJO,0.76176496,32.963486,F,OUTDOORS,09:00,PT3H,OUTDOOR_ASPIRATOR,Y,U.KJ.17.428,Anopheles_arabiensis,N,NA,NONE,Low,Y,Anopheles_arabiensis,Anopheles_arabiensis,VAE
ANOSPP13104933,KAJO_011_D11,01/06/2015,2015,6,6.2015,UGANDA|KAYONJO,0.76135098,32.963745,M,OUTDOORS,09:00,PT3H,OUTDOOR_ASPIRATOR,NA,U.KJ.17.556,Anopheles_gambiae,N,NA,NONE,Medium,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
ANOSPP13104941,KAJO_011_D12,01/10/2015,2015,10,10.2015,UGANDA|KAYONJO,0.75975398,32.974697,M,INDOORS,09:00,PT3H,INDOOR_ASPIRATOR,NA,U.KJ.17.438,Anopheles_gambiae,N,NA,NONE,Low,Y,NA,Anopheles_gambiae_complex,NN_INTERMEDIATE
ANOSPP13104861,KAJO_011_D2,01/12/2014,2014,12,12.2014,UGANDA|KANSAMBWE,-0.08564,32.588,F,INDOORS,09:00,PT3H,INDOOR_ASPIRATOR,Y,U.NSZ.ASP.12-14.018,Anopheles_gambiae,N,NA,NONE,Low,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
ANOSPP13104869,KAJO_011_D3,01/01/2016,2016,1,1.2016,UGANDA|KAYONJO,0.76268898,32.964535,M,OUTDOORS,09:00,PT3H,OUTDOOR_ASPIRATOR,NA,U.KJ.17.461,Anopheles_gambiae,N,NA,NONE,Low,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
ANOSPP13104877,KAJO_011_D4,01/01/2016,2016,1,1.2016,UGANDA|KAYONJO,0.76075796,32.974344,M,OUTDOORS,09:00,PT3H,OUTDOOR_ASPIRATOR,NA,U.KJ.17.590,Unknown,N,NA,NONE,NA,N,NA,TOO_FEW_TARGETS,TOO_FEW_TARGETS
ANOSPP13104885,KAJO_011_D5,01/01/2016,2016,1,1.2016,UGANDA|KAYONJO,0.76471204,32.97493,M,OUTDOORS,09:00,PT3H,OUTDOOR_ASPIRATOR,NA,U.KJ.17.401,Anopheles_gambiae,N,NA,NONE,Low,Y,NA,Anopheles_gambiae_complex,NN_INTERMEDIATE
ANOSPP13104893,KAJO_011_D6,01/01/2016,2016,1,1.2016,UGANDA|KAYONJO,0.76078503,32.974429,M,OUTDOORS,09:00,PT3H,OUTDOOR_ASPIRATOR,NA,U.KJ.17.470,Anopheles_gambiae,N,NA,NONE,Low,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
ANOSPP13104901,KAJO_011_D7,01/01/2016,2016,1,1.2016,UGANDA|KAYONJO,0.76135098,32.963745,F,OUTDOORS,09:00,PT3H,OUTDOOR_ASPIRATOR,Y,U.KJ.17.435,Anopheles_gambiae,N,NA,NONE,Low,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
ANOSPP13104909,KAJO_011_D8,01/01/2016,2016,1,1.2016,UGANDA|KAYONJO,0.76075796,32.974344,M,OUTDOORS,09:00,PT3H,OUTDOOR_ASPIRATOR,NA,U.KJ.17.474,Anopheles_gambiae,N,NA,NONE,Low,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
ANOSPP13104917,KAJO_011_D9,01/01/2016,2016,1,1.2016,UGANDA|KAYONJO,0.76142902,32.963514,F,INDOORS,09:00,PT3H,INDOOR_ASPIRATOR,Y,U.KJ.17.450,Anopheles_gambiae,N,NA,NONE,Low,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
ANOSPP13104854,KAJO_011_E1,23/05/2017,2017,5,5.2017,UGANDA|KIBBUYE,0.738023976,32.810786,F,OUTDOORS,09:00,PT3H,OUTDOOR_ASPIRATOR,Y,U.KY.17.452,Anopheles_gambiae,N,NA,NONE,Low,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
ANOSPP13104926,KAJO_011_E10,01/01/2016,2016,1,1.2016,UGANDA|KAYONJO,0.76600797,32.974791,M,OUTDOORS,09:00,PT3H,OUTDOOR_ASPIRATOR,NA,U.KJ.17.425,Anopheles_gambiae,N,NA,NONE,Medium,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
ANOSPP13104934,KAJO_011_E11,01/06/2015,2015,6,6.2015,UGANDA|KAYONJO,0.75683699,32.972648,M,OUTDOORS,09:00,PT3H,OUTDOOR_ASPIRATOR,NA,U.KJ.17.410,Anopheles_arabiensis,N,NA,NONE,Low,Y,Anopheles_arabiensis,Anopheles_arabiensis,VAE
ANOSPP13104942,KAJO_011_E12,01/10/2015,2015,10,10.2015,UGANDA|KAYONJO,0.76176496,32.963486,F,OUTDOORS,09:00,PT3H,OUTDOOR_ASPIRATOR,Y,U.KJ.17.360,Anopheles_funestus,N,NA,NONE,Low,Y,NA,Anopheles_funestus,NN_FINE
ANOSPP13104862,KAJO_011_E2,01/12/2014,2014,12,12.2014,UGANDA|KANSAMBWE,-0.08638,32.58605,F,INDOORS,09:00,PT3H,INDOOR_ASPIRATOR,Y,U.NSZ.ASP.12-14.017,Anopheles_gambiae,N,NA,NONE,Low,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
